="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)"
="",="(0.022)",="(0.020)",="(0.027)",="(0.027)",="(0.031)",="(0.031)",="(0.035)",="(0.038)",="(0.038)",="(0.044)",="(0.044)",="(0.046)",="(0.047)",="(0.052)",="(0.049)",="(0.056)"
="L1_commo",="-0.012",="-0.000",="0.006",="0.014",="-0.007",="-0.010",="-0.016",="-0.028",="-0.027",="-0.038",="-0.043",="-0.074***",="-0.055*",="-0.053*",="-0.046",="-0.036"
="",="(0.013)",="(0.014)",="(0.017)",="(0.019)",="(0.021)",="(0.022)",="(0.023)",="(0.023)",="(0.025)",="(0.024)",="(0.027)",="(0.026)",="(0.029)",="(0.031)",="(0.030)",="(0.030)"
="L2_commo",="0.019",="0.026*",="0.034*",="0.011",="0.006",="-0.000",="-0.011",="-0.008",="-0.019",="-0.024",="-0.056**",="-0.038",="-0.032",="-0.028",="-0.015",="-0.011"
="",="(0.012)",="(0.013)",="(0.018)",="(0.018)",="(0.022)",="(0.020)",="(0.023)",="(0.024)",="(0.024)",="(0.026)",="(0.026)",="(0.027)",="(0.031)",="(0.028)",="(0.030)",="(0.032)"
="L3_commo",="0.012",="0.020",="-0.004",="-0.006",="-0.012",="-0.022",="-0.019",="-0.033",="-0.037",="-0.066**",="-0.045*",="-0.042",="-0.041",="-0.027",="-0.025",="-0.031"
="",="(0.012)",="(0.014)",="(0.017)",="(0.019)",="(0.020)",="(0.022)",="(0.023)",="(0.023)",="(0.026)",="(0.026)",="(0.027)",="(0.031)",="(0.029)",="(0.029)",="(0.032)",="(0.032)"
="L4_commo",="-0.000",="-0.022*",="-0.025",="-0.031*",="-0.040*",="-0.035*",="-0.048**",="-0.054**",="-0.083***",="-0.066***",="-0.065**",="-0.065**",="-0.050*",="-0.048",="-0.053*",="-0.054"
="",="(0.013)",="(0.013)",="(0.018)",="(0.018)",="(0.021)",="(0.021)",="(0.023)",="(0.024)",="(0.025)",="(0.025)",="(0.030)",="(0.027)",="(0.028)",="(0.030)",="(0.032)",="(0.033)"
="L5_commo",="-0.022*",="-0.029**",="-0.038**",="-0.045**",="-0.042**",="-0.050**",="-0.057**",="-0.086***",="-0.071***",="-0.068**",="-0.065**",="-0.049*",="-0.053*",="-0.055*",="-0.059*",="-0.040"
="",="(0.012)",="(0.013)",="(0.017)",="(0.018)",="(0.020)",="(0.020)",="(0.023)",="(0.023)",="(0.025)",="(0.027)",="(0.027)",="(0.027)",="(0.030)",="(0.030)",="(0.032)",="(0.032)"
="L6_commo",="0.002",="-0.010",="-0.014",="-0.014",="-0.024",="-0.035*",="-0.065***",="-0.048**",="-0.043*",="-0.040",="-0.029",="-0.030",="-0.033",="-0.039",="-0.021",="-0.021"
="",="(0.013)",="(0.013)",="(0.017)",="(0.018)",="(0.021)",="(0.021)",="(0.022)",="(0.024)",="(0.026)",="(0.026)",="(0.026)",="(0.028)",="(0.030)",="(0.032)",="(0.033)",="(0.034)"
="L7_commo",="-0.012",="-0.015",="-0.017",="-0.027",="-0.038*",="-0.069***",="-0.049**",="-0.045*",="-0.043*",="-0.030",="-0.030",="-0.036",="-0.037",="-0.021",="-0.021",="-0.029"
="",="(0.012)",="(0.014)",="(0.017)",="(0.019)",="(0.020)",="(0.021)",="(0.022)",="(0.027)",="(0.024)",="(0.026)",="(0.028)",="(0.030)",="(0.031)",="(0.034)",="(0.034)",="(0.037)"
="L8_commo",="-0.010",="-0.013",="-0.023",="-0.031",="-0.064***",="-0.043**",="-0.036",="-0.031",="-0.017",="-0.017",="-0.021",="-0.022",="-0.004",="-0.007",="-0.017",="-0.015"
="",="(0.013)",="(0.014)",="(0.018)",="(0.019)",="(0.021)",="(0.022)",="(0.027)",="(0.025)",="(0.026)",="(0.029)",="(0.029)",="(0.031)",="(0.032)",="(0.035)",="(0.035)",="(0.035)"
="L1_R_DJ_global",="0.011",="0.021",="-0.010",="0.050",="0.026",="0.037",="0.057",="0.051",="0.015",="-0.005",="0.014",="0.027",="0.049",="0.088",="0.092",="0.111*"
="",="(0.026)",="(0.024)",="(0.036)",="(0.037)",="(0.046)",="(0.049)",="(0.047)",="(0.048)",="(0.054)",="(0.050)",="(0.058)",="(0.057)",="(0.061)",="(0.064)",="(0.069)",="(0.066)"
="L2_R_DJ_global",="0.023",="-0.002",="0.058*",="0.044",="0.054",="0.066*",="0.043",="0.002",="-0.015",="-0.000",="0.006",="0.042",="0.075",="0.079",="0.105*",="0.110*"
="",="(0.022)",="(0.029)",="(0.034)",="(0.040)",="(0.044)",="(0.040)",="(0.044)",="(0.049)",="(0.046)",="(0.052)",="(0.052)",="(0.053)",="(0.058)",="(0.060)",="(0.061)",="(0.062)"
="L3_R_DJ_global",="-0.008",="0.052**",="0.046",="0.052",="0.058",="0.038",="0.002",="-0.001",="0.003",="0.003",="0.045",="0.077",="0.081",="0.110*",="0.116*",="0.100"
="",="(0.026)",="(0.026)",="(0.034)",="(0.038)",="(0.038)",="(0.040)",="(0.047)",="(0.042)",="(0.052)",="(0.049)",="(0.053)",="(0.055)",="(0.061)",="(0.058)",="(0.063)",="(0.062)"
="L4_R_DJ_global",="0.049**",="0.053**",="0.054",="0.054*",="0.033",="0.001",="-0.011",="-0.005",="-0.002",="0.041",="0.080",="0.090",="0.122**",="0.119**",="0.107*",="0.100"
="",="(0.024)",="(0.024)",="(0.036)",="(0.032)",="(0.039)",="(0.041)",="(0.040)",="(0.044)",="(0.046)",="(0.046)",="(0.052)",="(0.055)",="(0.056)",="(0.057)",="(0.060)",="(0.061)"
="L5_R_DJ_global",="0.017",="0.029",="0.021",="0.024",="-0.018",="-0.028",="-0.014",="-0.027",="0.019",="0.037",="0.048",="0.093*",="0.104*",="0.096*",="0.092",="0.052"
